news_headline,news_article,news_category
England complete their biggest run chase against India in ODI history,England on Friday completed their biggest run chase against India in their ODI history by scoring 337/4 in the second ODI in the three-match series. Jonny Bairstow's 124 (112) and Ben Stokes' 99 (52) helped England level the series at 1-1. KL Rahul with 108 (114) was the highest-scoring batsman from the Indian side.,sports
Sachin first opened in ODIs due to Sidhu's 'stiff neck',"Sachin Tendulkar came out to open the innings for the first time in international cricket on March 27, 1994, against New Zealand in Auckland. Sachin got a chance to open with Ajay Jadeja as Navjot Singh Sidhu, the first-choice opener, woke up with a stiff neck and didn't play the ODI. Tendulkar scored 82 off 49 balls in his innings.",sports
Kuldeep Yadav gives away most sixes by an Indian bowler in an ODI,"Team India Chinaman bowler Kuldeep Yadav on Friday gave away eight sixes against England in the second ODI in Pune. It is the most number of sixes conceded by an Indian bowler in an ODI. The previous record was in the name of former fast bowler Vinay Kumar, who gave away seven sixes in an ODI against Australia in 2013.",sports
KL Rahul reveals reason behind covering his ears with fingers to celebrate ton,"India wicketkeeper-batsman KL Rahul has revealed the reason behind him covering his ears with his fingers to celebrate his hundred during second ODI against England. ""It's pretty self-explanatory...To shut out the noise. No disrespect to nobody,"" he said. ""There are people out there who...pull you down...you need to neglect them...That's just a message to shut out that noise,"" he added.",sports
Sachin Tendulkar tests positive for coronavirus,"Former India batsman Sachin Tendulkar has tested positive for coronavirus. The 47-year-old, who captained India Legends to victory in recently-concluded Road Safety World Series T20 tournament in Raipur, said that he tested coronavirus positive after showing mild symptoms and added that he has quarantined himself at home. He further said that his family members have tested negative for the virus.",sports
Stokes mistakenly applies saliva on the ball for 2nd time during India tour,"England all-rounder Ben Stokes on Friday mistakenly applied saliva on the ball in the fourth over of India's innings. This is the second time during the India tour that Stokes has applied saliva on ball. The umpire again issued a warning to Stokes and sanitised the ball. The first instance happened during the pink ball Test in Ahmedabad, last month. ",sports
"Hardik runs towards Sam Curran after getting sledged, umpire separates them",Team India all-rounder Hardik Pandya and England all-rounder Sam Curran got engaged in a verbal fight following the 46th over of India's first innings in the second ODI in Pune. Hardik was deceived by a slower ball by Curran after which the latter said something. Hardik then ran towards him and exchanged words after which umpire separated the two.,sports
Why was Pant denied 4 runs despite the ball crossing boundary after DRS call?,"Rishabh Pant was adjudged LBW out after which the ball crossed the boundary during India's 40th over in second ODI against England. The decision was overturned as replays showed Pant was not out. However, Pant was denied four runs. As per rules, if a batsman is given LBW out, the ball immediately becomes dead even if the decision is overturned.",sports
I never played for hundreds in my life: Kohli on not hitting a ton in over 485 days,"Talking about his century drought, Virat Kohli said, ""I never played for hundreds in my life, probably that's why I ended up getting so many in a short while."" Kohli, who last hit a hundred in November 2019, added, ""It's more important for the team to win. If I get a three-figure score and the team doesn't win...it means nothing.""",sports
How does the Cricket World Cup Super League points table read after India's defeat?,"Following their six-wicket victory against India in the second ODI, England jumped to the first position from fourth position on Cricket World Cup Super League points table. Australia dropped to the second position due to lower net run-rate. New Zealand are third on the table. Top-seven ranked teams and World Cup hosts (India) will automatically qualify for 2023 World Cup.",sports
